affiliation-name	city	country	aff_id
Beijing University of Technology	Beijing	China	60022281
Northwestern Polytechnical University	Xi'an	China	60003977
Aix Marseille Université	Marseille	France	60102127
East China Jiaotong University	Nanchang	China	60010606
Nanjing Tech University	Nanjing	China	60025441
Hong Kong Polytechnic University	Kowloon	Hong Kong	60008928
Wuhan University	Wuhan	China	60029306
Jiangsu Institute of Parasitic Diseases	Wuxi	China	60073697
Hebei University of Technology	Tianjin	China	60032389
Qingdao University of Science and Technology	Qingdao	China	60019496
Istituto Europeo di Oncologia	Milan	Italy	60030442
KU Leuven	3000 Leuven	Belgium	60025063
Nanjing Agricultural University	Nanjing	China	60024045
Huazhong University of Science and Technology	Wuhan	China	60025761
Ministry of Education China	Beijing	China	60001604
Zhejiang University	Hangzhou	China	60003970
Exeter	Plymouth	United Kingdom	101995903
Harbin Institute of Technology	Harbin	China	60019616
Xidian University	Xi'an	China	60025578
Liaoning University	Shenyang	China	60022345
Peking University	Beijing	China	60014966
Xi'an University of Technology	Xi'an	China	60026981
Universitätsklinikum Heidelberg	Heidelberg	Germany	60003280
Harvard School of Public Health	Boston	United States	60032499
University of Texas MD Anderson Cancer Center	Houston	United States	60015023
Università degli Studi di Milano	Milan	Italy	60030318
Suzhou Vocational University	Suzhou	China	60104676
King Abdulaziz University	Jeddah	Saudi Arabia	60004582
Xi'an Jiaotong University	Xi'an	China	60018308
University of California, San Diego	San Diego	United States	60030612
Chaim Sheba Medical Center Israel	Tel Aviv-Yafo	Israel	60011766
Chinese Academy of Sciences	Beijing	China	60019499
University of Electronic Science and Technology of China	Chengdu	China	60005465
Communication University of China	Beijing	China	60021427
University of Liverpool	Liverpool	United Kingdom	60020661
University of Florida	Gainesville	United States	60013959
Foundation for Liver Research	London	United Kingdom	60112926
North China University of Technology	Beijing	China	60011186
Defence Research and Development Canada	Ottawa	Canada	60017597
Genentech Incorporated	San Francisco	United States	60026209
Technische Universität Braunschweig	Braunschweig	Germany	60007902
Johannes Gutenberg Universität Mainz	Mainz	Germany	60031216
Hunan University	Changsha	China	60032356
Sichuan University	Chengdu	China	60016521
Stockton University	Galloway Township	United States	60001509
Klinikum der Universität München	Munich	Germany	60000291
Nanjing University of Post and TeleCommunications	Nanjing	China	60009400
University of California, San Francisco	San Francisco	United States	60023691
National Heart and Lung Institute	London	United Kingdom	60010719
East China University of Science and Technology	Shanghai	China	60011069
Beijing Institute of Technology	Beijing	China	60016835
University of Bristol	Bristol	United Kingdom	60020650
Universitäts Klinikum Essen und Medizinische Fakultät	Essen	Germany	60007896
Chonnam National University	Gwangju	South Korea	60007215
Nagasaki University	Nagasaki	Japan	60011846
Chengdu Institute of Geology and Mineral Resources	Chengdu	China	60073500
University of Pittsburgh Medical Center	Pittsburgh	United States	60012018
Universität Heidelberg	Heidelberg	Germany	60016908
Kyushu Central Hospital	Fukuoka	Japan	116517173
Medizinische Hochschule Hannover (MHH)	Hannover	Germany	60024052
Central South University China	Changsha	China	60017060
Yangzhou University	Yangzhou	China	60007381
Tel Aviv University	Tel Aviv-Yafo	Israel	60005681
Zhejiang Sci-Tech University	Hangzhou	China	60103821
University of Western Australia	Perth	Australia	60031806
Xuzhou Normal University	Xuzhou	China	60004691
Leiden University Medical Center		Switzerland	121950968
Tsinghua University	Beijing	China	60025278
Massachusetts Institute of Technology	Cambridge	United States	60022195
Universiti Sains Malaysia	Penang	Malaysia	60000906
Imperial College London	London	United Kingdom	60015150
Chonbuk National University	Jeonju	South Korea	60001187
Brigham and Women's Hospital	Boston	United States	60016782
Jawaharlal Nehru Centre for Advanced Scientific Research	Bengaluru	India	60015236
Shanghai Jiao Tong University	Shanghai	China	60025084
Instituto Superior Técnico	Lisbon	Portugal	60004956
University of Milano - Bicocca	Milan	Italy	60012306
Northwest University China	Xi'an	China	60001298
Henan University	Kaifeng	China	60003146
Perm State University	Perm Perm Krai,	Russian Federation	60023914
University of Southampton	Southampton	United Kingdom	60025225
Università degli Studi di Firenze	Florence	Italy	60021859
Écoles polytechniques fédérales		Switzerland	60023289
University of Malaya	Kuala Lumpur	Malaysia	60029157
University of Oxford	Oxford	United Kingdom	60026851
JMI Laboratories Incorporated	North Liberty	United States	60008138
Università degli Studi di Verona	Verona	Italy	60032256
University of Dhaka	Dhaka	Bangladesh	60014714
University of Houston	Houston	United States	60005837
Sun Yat-Sen University	Guangzhou	China	60021182
McMaster University, Faculty of Health Sciences	Hamilton	Canada	60026748
International Business Machines	Armonk	United States	60021293
University of Amsterdam	Amsterdam	Netherlands	60002483
Hohai University	Nanjing	China	60010851
The Netherlands Cancer Institute	Amsterdam	Netherlands	60015205
University of Miami, Sylvester Comprehensive Cancer Center	Miami	United States	60011479
Singapore Eye Research Institute	Singapore City	Singapore	60024285
University of Texas Health Science Center at San Antonio	San Antonio	United States	60018573
Zhejiang University School of Medicine	Hangzhou	China	60029310
Technical University of Munich	Munich	Germany	60019722
AE Favorsky Irkutsk Institute of Chemistry, Siberian Branch, Russian Academy of Sciences	Irkutsk	Russian Federation	60101981
Københavns Universitet	Copenhagen	Denmark	60030840
Universität Tübingen	Tubingen	Germany	60017246
Duke University School of Medicine	Durham	United States	60005200
Jiangsu University of Science and Technology	Zhenjiang	China	60069706
Ocean University of China	Qingdao	China	60022422
Hospital Erasme	Brussels	Belgium	60068575
MRC Lifecourse Epidemiology Unit	Southampton	United Kingdom	60023615
Institute of Physics of the Czech Academy of Sciences	Prague	Czech Republic	60016576
St. Louis University School of Medicine	St Louis	United States	60000945
University of Otago	Dunedin	New Zealand	60017311
Università Vita-Salute San Raffaele	Milan	Italy	60009622
Yamamoto Memorial Hospital	Imari	Japan	60092264
German Cancer Research Center	Heidelberg	Germany	60017059
University of Science and Technology of China	Hefei	China	60019118
National Chemical Laboratory India	Pune	India	60012548
Institute of Geographical Sciences and Natural Resources Research Chinese Academy of Sciences	Beijing	China	60031150
Xi'an Research Institute of High Technology	Xi'an	China	60073711
Ospedale Maggiore Policlinico Milano	Milan	Italy	60007067
National Center for Chronic Disease Prevention and Health Promotion		United States	60030966
University of Cape Town	Cape Town	South Africa	60000356
University of Chicago	Chicago	United States	60029278
National Institute for Health and Welfare	Helsinki	Finland	60104546
University of Athens Medical School	Athens	Greece	60067083
