author_id,name,affiliation_id
36066941200,Weidong Zhang,60022281
36078712200,Weiliang Liu,60003977
36040059800,Didier A. Raoult,60102127
36068534900,Liying Li Wang,60010606
35239357700,Jinming Long Zhang,60025441
36066740000,Yuanyuan Liu,60008928
36014373300,Ningning Li,60029306
7501760568,Wuxi Tao Wang,60073697
57199809562,Akishisa Inoue,60032389
36014680100,Jihong K. Liu,60019496
57190078722,Albert Hofman,60030442
35399610800,Erik De Clercq,60025063
34769702200,Fengqing Gao,60024045
36077781100,Weiping Lü,60025761
36698348500,Mike Stones,
36063274500,Leiming Zhang,60001604
35564108300,Kefa Cen,60003970
36040636300,Edzard Edzard W. Ernst,101995903
36038733700,Peng George Wang,60019616
36078695800,Jushang Jackie Li,60025578
7701307866,Junmin Xiang Wang,60022345
36062654700,Qian Li,60029306
23980554000,Jianping Li,60014966
7409192698,Huihui Zhang,60026981
55066608000,Markus Wolfgang Bũchler,60003280
56803239300,Walter Churchill Willett,60032499
7202247267,Hagop M. Kantarjian,60015023
36063266200,Carlo La Vecchia,60030318
36068003900,Feng Yeh Wang,60104676
8856998000,Tasawar Hayat,60004582
13805533100,Huiming Wang,60018308
35449372200,Arnold L. Rheingold,60030612
36879964800,Yehuda Shoenfeld,60011766
36066808300,Jingshuang Jinglan Liu,60019499
36064205800,Fengshan Liu,60005465
36066643600,Junhua Li,60021427
35351259800,Gregory Y.H. Lip,60020661
7201993791,Alan Roy Katritzky,60013959
36078440500,Jingjing Bin Wang,60019496
7409607221,Roger M. Williams,60112926
36072770000,Yinghong Li,60011186
35511573900,Fan F. Zhang,60017597
36072005200,Bin Li,60019616
36071959600,Jianhua Liang Liu,60026209
35276860200,Peter George Jones,60007902
36047278500,Kläus Múllen,60031216
55454449900,Guangming Zeng,60032356
36071184600,Hongjiang Zhang,60016521
36049464300,David Lester,60001509
36050187000,Maximillian Ferdinand Reiser,60000291
56969954800,Wei Huang,60009400
36066921500,Howard I. Maibach,60023691
34573036500,Patrick W. Serruys,60010719
7409429610,Weiwei Zhang,60011069
36037263500,Toshino Fukuda,60016835
35354080500,George Davey Smith,60020650
36071970300,Hans Christoph W. Diener,60007896
34770853900,Kwangyoung Kim,60007215
36041960700,Shigeru Kohno,60011846
36065477000,Jianhong Wang,60073500
35403289700,Thomas E. Starzl,60012018
55426798600,Eberhardt R. Ritz,60016908
35371979200,Yoshihiko Maehara,116517173
57203056792,Michael Peter Manns,60024052
36063498400,Yongjiang Liü,60017060
7406351617,Ming Chen-,60007381
36042259400,Gideon Koren,60005681
35096967500,Chao D. Wang,60103821
7404186412,Allan Henry White,60031806
36064679400,Peter John Barnes,60010719
7407003499,Jing Xu,60004691
55429494700,Jeroen J.J. Bax,121950968
8548331900,Lei Zhao,60025278
7402409226,Robert Samuel M. Langer,60022195
55954738300,Hoong-Kun Fun,60000906
36471613400,Stephen Stephen Robert Bloom,60015150
34769900900,Hyungseok Seung Kim,60001187
56541992700,Zhonglin Wang,60019499
35375508300,Eugene B. Braunwald,60016782
22968535800,C. N.R. Rao,60015236
36066390600,Ming Li,60025084
56978160800,C. Guedes Soares,60004956
7102491544,Licheng Jiao,60025578
36039693200,Giuseppe Mancia,60012306
7501964134,Chao Chen,60001298
36072593200,Linlin Li,60003146
35427689100,Yuri T. Struchkov,60023914
56962789600,David John Richardson,60025225
7102904152,Claudiu T. Supuran,60021859
35463345800,M. Grätzel,60023289
35498072700,Seikweng Ng,60029157
55950127500,Richard G. Compton,60026851
55780097500,Raimund A. Erbel,60007896
36012864100,Ronald N Jones,60008138
36038072700,Michael B. Hursthouse,60025225
57205413642,Giuseppe Lippi,60032256
35226923400,Muhammad Shamsul Alam,60014714
23468930900,Jan Ǻke Gustafsson,60005837
7403931882,Pingyi Yang,60021182
8841196600,Gordon Henry M. Guyatt,60026748
7601422007,Sangyeoup Jae Lee,60021293
36051279500,Els A. de Wolf,60002483
36072260300,Yingying Liu,60019499
36071136100,Hong Jie H. Wang,60010851
6701506021,Abdullah M. Asiri,60004582
36043688000,Jos H. Beijnen,60015205
35452289900,Andrew Victor S. Schally,60011479
35231271400,Tien Yin Wong,60024285
7402574751,Rüssel J. Reíter,60018573
57188980982,James Ridler,
36041252700,Minming Zhang,60029310
7101692484,Brian W. Skelton,60031806
36045348100,Johannnes Ring,60019722
